0,1,2,3
"KNeighborsClassifier(algorithm='brute', p=1, weights='distance')",0.7742955721679126,0.9664429530201343,0.9581272288047855
KNeighborsClassifier(algorithm='brute'),0.7708453133985049,0.8348993288590604,0.8325089152191418
"KNeighborsClassifier(algorithm='brute', weights='distance')",0.769120184013801,0.9664429530201343,0.9581272288047855
"KNeighborsClassifier(algorithm='brute', n_neighbors=7, p=1)",0.7780333525014376,0.8210930009587728,0.8250316346485678
"KNeighborsClassifier(algorithm='brute', n_neighbors=7, p=1, weights='distance')",0.7763082231167338,0.9668264621284756,0.9604279305188083
"KNeighborsClassifier(algorithm='brute', n_neighbors=7)",0.7794709603220241,0.8230105465004793,0.8244564592200622
"KNeighborsClassifier(algorithm='brute', n_neighbors=7, weights='distance')",0.7788959171937896,0.9668264621284756,0.9604279305188083
"KNeighborsClassifier(algorithm='brute', n_neighbors=10, p=1)",0.7817711328349626,0.8193672099712368,0.8166340733923847
"KNeighborsClassifier(algorithm='brute', n_neighbors=10, p=1, weights='distance')",0.7829212190914319,0.9668264621284756,0.9607730357759117
"KNeighborsClassifier(algorithm='brute', n_neighbors=10)",0.7786083956296722,0.8166826462128476,0.814333371678362
"KNeighborsClassifier(algorithm='brute', n_neighbors=10, weights='distance')",0.7757331799884991,0.9668264621284756,0.9607730357759117
"KNeighborsClassifier(algorithm='brute', leaf_size=45, n_neighbors=3, p=1)",0.7642323174238068,0.8604026845637583,0.8528701253882434
"KNeighborsClassifier(algorithm='brute', leaf_size=45, n_neighbors=3, p=1,
                     weights='distance')",0.7573317998849913,0.9658676893576222,0.9542160358909467
"KNeighborsClassifier(algorithm='brute', leaf_size=45, n_neighbors=3)",0.7650948821161587,0.8596356663470758,0.8531001955596457
"KNeighborsClassifier(algorithm='brute', leaf_size=45, n_neighbors=3,
                     weights='distance')",0.7590569292696953,0.9658676893576222,0.9542160358909467
"KNeighborsClassifier(algorithm='brute', leaf_size=45, p=1)",0.778320874065555,0.8352828379674018,0.8346945818474635
"KNeighborsClassifier(algorithm='brute', leaf_size=45, p=1, weights='distance')",0.7742955721679126,0.9664429530201343,0.9581272288047855
"KNeighborsClassifier(algorithm='brute', leaf_size=45)",0.7708453133985049,0.8348993288590604,0.8325089152191418
"KNeighborsClassifier(algorithm='brute', leaf_size=45, weights='distance')",0.769120184013801,0.9664429530201343,0.9581272288047855
"KNeighborsClassifier(algorithm='brute', leaf_size=45, n_neighbors=7, p=1)",0.7780333525014376,0.8210930009587728,0.8250316346485678
"KNeighborsClassifier(algorithm='brute', leaf_size=45, n_neighbors=7, p=1,
                     weights='distance')",0.7763082231167338,0.9668264621284756,0.9604279305188083
"KNeighborsClassifier(algorithm='brute', leaf_size=45, n_neighbors=7)",0.7794709603220241,0.8230105465004793,0.8244564592200622
"KNeighborsClassifier(algorithm='brute', leaf_size=45, n_neighbors=7,
                     weights='distance')",0.7788959171937896,0.9668264621284756,0.9604279305188083
"KNeighborsClassifier(algorithm='brute', leaf_size=45, n_neighbors=10, p=1)",0.7817711328349626,0.8193672099712368,0.8166340733923847
"KNeighborsClassifier(algorithm='brute', leaf_size=45, n_neighbors=10, p=1,
                     weights='distance')",0.7829212190914319,0.9668264621284756,0.9607730357759117
"KNeighborsClassifier(algorithm='brute', leaf_size=45, n_neighbors=10)",0.7786083956296722,0.8166826462128476,0.814333371678362
"KNeighborsClassifier(algorithm='brute', leaf_size=45, n_neighbors=10,
                     weights='distance')",0.7757331799884991,0.9668264621284756,0.9607730357759117
"KNeighborsClassifier(algorithm='brute', leaf_size=60, n_neighbors=3, p=1)",0.7642323174238068,0.8604026845637583,0.8528701253882434
"KNeighborsClassifier(algorithm='brute', leaf_size=60, n_neighbors=3, p=1,
                     weights='distance')",0.7573317998849913,0.9658676893576222,0.9542160358909467
"KNeighborsClassifier(algorithm='brute', leaf_size=60, n_neighbors=3)",0.7650948821161587,0.8596356663470758,0.8531001955596457
"KNeighborsClassifier(algorithm='brute', leaf_size=60, n_neighbors=3,
                     weights='distance')",0.7590569292696953,0.9658676893576222,0.9542160358909467
"KNeighborsClassifier(algorithm='brute', leaf_size=60, p=1)",0.778320874065555,0.8352828379674018,0.8346945818474635
"KNeighborsClassifier(algorithm='brute', leaf_size=60, p=1, weights='distance')",0.7742955721679126,0.9664429530201343,0.9581272288047855
"KNeighborsClassifier(algorithm='brute', leaf_size=60)",0.7708453133985049,0.8348993288590604,0.8325089152191418
"KNeighborsClassifier(algorithm='brute', leaf_size=60, weights='distance')",0.769120184013801,0.9664429530201343,0.9581272288047855
"KNeighborsClassifier(algorithm='brute', leaf_size=60, n_neighbors=7, p=1)",0.7780333525014376,0.8210930009587728,0.8250316346485678
"KNeighborsClassifier(algorithm='brute', leaf_size=60, n_neighbors=7, p=1,
                     weights='distance')",0.7763082231167338,0.9668264621284756,0.9604279305188083
"KNeighborsClassifier(algorithm='brute', leaf_size=60, n_neighbors=7)",0.7794709603220241,0.8230105465004793,0.8244564592200622
"KNeighborsClassifier(algorithm='brute', leaf_size=60, n_neighbors=7,
                     weights='distance')",0.7788959171937896,0.9668264621284756,0.9604279305188083
"KNeighborsClassifier(algorithm='brute', leaf_size=60, n_neighbors=10, p=1)",0.7817711328349626,0.8193672099712368,0.8166340733923847
"KNeighborsClassifier(algorithm='brute', leaf_size=60, n_neighbors=10, p=1,
                     weights='distance')",0.7829212190914319,0.9668264621284756,0.9607730357759117
"KNeighborsClassifier(algorithm='brute', leaf_size=60, n_neighbors=10)",0.7786083956296722,0.8166826462128476,0.814333371678362
"KNeighborsClassifier(algorithm='brute', leaf_size=60, n_neighbors=10,
                     weights='distance')",0.7757331799884991,0.9668264621284756,0.9607730357759117
